simulation_id,attack_id,cost
347,1,109743800.72469747
347,2,92202608.6574806
348,1,110102468.54342952
348,2,94401324.48975152
351,1,109334303.0829043
353,1,105197549.13849893
353,2,98874850.59143618
353,3,103888675.65018544
353,4,97615683.76216902
355,1,101582606.48987031
359,1,93771110.34825945
359,2,122099879.55777203
360,1,92732371.38261798
360,2,96490358.89351872
363,1,102867523.77631399
364,1,101995920.32567272
365,1,98616759.83394073
369,1,99818398.8581547
369,2,103863896.08354446
370,1,110642799.13134718
370,2,88433011.75481848
371,1,103409360.76819521
372,1,110438373.6902841
373,1,103580977.35370223
374,1,91544559.388423
375,1,96777450.97396855
376,1,103299476.13873096
380,1,102435620.12020324
381,1,100325522.54957314
383,1,103701394.69869915
384,1,115598674.2033545
384,2,91024663.80268738
384,3,95073332.0079655
385,1,109845283.33703366
385,2,101806443.04240611
387,1,116846824.98320764
388,1,97095973.41356127
389,1,88059544.0205801
395,1,104890010.58298755
395,2,106183207.74560651
396,1,98563351.397983
398,1,101305903.34476717
398,2,81093917.73101842
399,1,109512064.45510575
401,1,81604718.60234343
402,1,83443358.94926421
406,1,99710188.08419521
408,1,79654172.43900727
410,1,105017527.05099651
413,1,88572456.2155946
415,1,90983530.30882569
416,1,91864905.8625736
418,1,95474440.48089771
419,1,114743135.34097566
419,2,110726930.88668293
422,1,96405409.71606654
425,1,107779243.9811
426,1,104723640.59622763
426,2,97728629.57157177
427,1,104061093.39848062
429,1,100827581.43979238
431,1,110872628.71164984
431,2,101672906.66603893
439,1,98449759.61767198
441,1,94344116.72975151
442,1,94375441.85694543
443,1,115527801.69223452
443,2,103087468.60148767
446,1,97543736.60283707
448,1,100026513.16747716
450,1,105554804.78464222
452,1,95875008.19179682
453,1,107466470.45007312
453,2,106674098.9487576
454,1,99883318.04809165
457,1,105340611.27513677
457,2,108623644.7668274
460,1,97675671.24387391
460,2,88273094.71210724
461,1,100743289.48709036
461,2,109523294.43696623
464,1,86037282.22372366
464,2,83669717.12287782
465,1,92160468.67787719
466,1,105175035.09569788
470,1,92230253.82647868
470,2,89349363.9845711
473,1,98070425.0157971
475,1,84094132.50516632
475,2,86796884.09055011
476,1,109762528.79023911
476,2,107817343.67531455
476,3,87461018.34950231
478,1,104044090.07397687
479,1,95422050.4903243
479,2,88037960.70716736
480,1,85688291.9797218
483,1,77115150.73108667
484,1,92865639.94850853
487,1,107071860.77877074
488,1,86339200.34794568
490,1,90579539.59594248
493,1,91366704.02369723
495,1,112223970.96442825
496,1,102472907.95271237
497,1,97483559.16352658
498,1,101971066.48042566
501,1,88579534.80021413
504,1,83920587.50625928
505,1,87775286.70484643
508,1,110622424.37951645
512,1,95216726.72265899
512,2,91417973.04624158
513,1,104562565.1450409
513,2,93301114.23174205
513,3,90169454.7597268
513,4,80564517.53690387
514,1,96798327.14538106
514,2,97480874.23526172
515,1,101842813.509302
515,2,85885940.34365776
516,1,92810795.53362666
519,1,106533689.94452842
519,2,112654684.60591285
526,1,96924951.12825951
526,2,86332166.86522247
528,1,93995526.8504349
529,1,74070777.40493754
533,1,99967392.68156885
537,1,94910716.61835212
538,1,94694716.12166838
539,1,104962380.20654418
539,2,96111219.24333869
539,3,80522450.93606213
542,1,104322450.74029832
544,1,101177390.82850498
545,1,90132783.96586958
546,1,105755381.53130066
550,1,106728456.17225033
551,1,98282843.48372442
552,1,100711937.56059775
554,1,85897802.39653246
554,2,116453976.98925698
556,1,104803066.98002088
557,1,107726090.23110403
558,1,99776689.5701189
559,1,106929782.33428754
562,1,105332766.47131494
563,1,105320397.40234604
566,1,97036887.03717946
567,1,98996079.1191566
568,1,102240720.41983767
569,1,96512527.5051461
571,1,127800157.32683834
572,1,70893297.00843452
575,1,103357313.28449272
579,1,86120034.68187469
583,1,91412430.24042967
585,1,91361855.35767657
586,1,101148681.87175585
589,1,98257017.56620331
590,1,112190743.07641047
590,2,80388721.34819648
591,1,110962300.83931497
591,2,112206712.85025524
594,1,109164787.11527464
595,1,105286115.92994437
597,1,102677706.60165921
599,1,96070806.41420634
600,1,97568170.51499876
604,1,102225181.5673258
606,1,99168719.7034468
609,1,99792014.6632961
610,1,100684863.11942957
612,1,108292870.0613296
618,1,119928975.94324589
619,1,89376029.76969996
620,1,87527523.41510706
621,1,107567698.05326375
626,1,89155023.71411452
627,1,118634616.43376037
627,2,79095130.76685652
632,1,105504215.20161675
633,1,93594827.10759087
634,1,94429840.20548849
635,1,99725511.22432616
636,1,98047144.7897394
636,2,88331800.35775392
637,1,99934747.71820278
639,1,94856398.3734373
639,2,111788066.02045414
642,1,109492736.10108171
643,1,91617085.10789701
645,1,112932584.29796508
645,2,93417709.709328
650,1,94739987.3822976
651,1,96969882.27293238
651,2,75722143.25501181
654,1,94744248.5976349
655,1,110707062.27326125
655,2,114264417.80601355
656,1,96096245.39222309
657,1,103814024.87537436
657,2,102680349.15856835
657,3,108259313.95959713
658,1,109388991.5855243
660,1,90738463.2971048
660,2,99498984.71725935
661,1,101139965.69645351
662,1,102246395.57932219
663,1,91453323.95955253
664,1,120726720.14675549
664,2,111634930.27417691
665,1,100442424.68182196
666,1,110370443.87229869
668,1,98281569.37482901
670,1,114334538.30439623
672,1,109275084.20045318
678,1,88355847.4326904
679,1,106970747.19948782
680,1,102559768.58148985
681,1,87723713.06002046
681,2,107806006.70261566
683,1,114909683.86176234
689,1,95094779.37593353
689,2,98313475.5149064
690,1,93535809.33709335
692,1,90329080.80592944
696,1,97885037.83604495
699,1,103258936.94333765
705,1,101120132.97400607
707,1,103744827.42871903
708,1,109289325.55296415
708,2,98959064.88489719
709,1,89004836.21985617
718,1,94423600.46130928
718,2,100787587.41517216
721,1,110710669.22436602
721,2,109679067.47083923
721,3,86488731.01950756
722,1,99719803.23311935
726,1,112143502.59966353
727,1,111279267.0536525
727,2,88378899.97536018
728,1,105257016.45162725
730,1,79165887.34155089
731,1,102604721.4691436
737,1,82115864.12285575
739,1,105257509.00001088
743,1,107479532.27635315
746,1,100098788.43467355
747,1,108539180.43424955
748,1,106402453.53285372
753,1,108118921.92154548
753,2,93834438.47731654
759,1,105131972.12659502
759,2,91683932.12133728
760,1,118000108.45335604
760,2,110399835.31674832
762,1,90443504.28877237
